idna_subject,checker_type,destination,tested_at
api.t8betvip.com,AVAILABILITY,origin.list,2024-02-12 12:08:05.963078
api.t8bet999.com,AVAILABILITY,origin.list,2024-02-12 12:08:06.192142
aa3664.biz,AVAILABILITY,origin.list,2024-02-12 12:08:06.556722
api.s999h.com,AVAILABILITY,origin.list,2024-02-12 12:08:06.887675
b7852.com,AVAILABILITY,origin.list,2024-02-12 12:08:07.419785
acccsocss10.com,AVAILABILITY,origin.list,2024-02-12 12:08:07.592093
aa3656.biz,AVAILABILITY,origin.list,2024-02-12 12:08:08.008133
aa3650.biz,AVAILABILITY,origin.list,2024-02-12 12:08:08.359208
betwaythai99.net,AVAILABILITY,origin.list,2024-02-12 12:08:08.427325
ak28t.com,AVAILABILITY,origin.list,2024-02-12 12:08:08.853485
bbdjmjc.com,AVAILABILITY,origin.list,2024-02-12 12:08:09.024771
aa3657.biz,AVAILABILITY,origin.list,2024-02-12 12:08:09.438344
aa3668.biz,AVAILABILITY,origin.list,2024-02-12 12:08:09.832102
9987365.com,AVAILABILITY,origin.list,2024-02-12 12:08:09.923186
9jbd.com,AVAILABILITY,origin.list,2024-02-12 12:08:10.428028
9986365.com,AVAILABILITY,origin.list,2024-02-12 12:08:10.619983
a3323a.com,AVAILABILITY,origin.list,2024-02-12 12:08:10.827792
a5688a.com,AVAILABILITY,origin.list,2024-02-12 12:08:11.186780
a4568a.com,AVAILABILITY,origin.list,2024-02-12 12:08:11.379380
9985365.com,AVAILABILITY,origin.list,2024-02-12 12:08:11.929807
a2256a.com,AVAILABILITY,origin.list,2024-02-12 12:08:12.183185
a8875a.com,AVAILABILITY,origin.list,2024-02-12 12:08:12.335404
api.jun88.tv,AVAILABILITY,origin.list,2024-02-12 12:08:12.401252
a5565a.com,AVAILABILITY,origin.list,2024-02-12 12:08:12.548712
a7931a.com,AVAILABILITY,origin.list,2024-02-12 12:08:13.247213
b87328.com,AVAILABILITY,origin.list,2024-02-12 12:08:13.850986
ac88-i.com,AVAILABILITY,origin.list,2024-02-12 12:08:13.935784
bc6691.com,AVAILABILITY,origin.list,2024-02-12 12:08:14.130049
bc6669.com,AVAILABILITY,origin.list,2024-02-12 12:08:14.261277
9986f.com,AVAILABILITY,origin.list,2024-02-12 12:08:14.554755
bc6698.com,AVAILABILITY,origin.list,2024-02-12 12:08:15.498082
bc6692.com,AVAILABILITY,origin.list,2024-02-12 12:08:15.546004
bc8993.com,AVAILABILITY,origin.list,2024-02-12 12:08:15.788578
bb75462.com,AVAILABILITY,origin.list,2024-02-12 12:08:15.922103
