idna_subject,checker_type,destination,source,tested_at,session_id
467390.com,AVAILABILITY,origin.list,origin.list,2023-11-20 05:17:58.053774,4c48cd737197b3289f60d666
46736.biz,AVAILABILITY,origin.list,origin.list,2023-11-20 05:17:58.556149,4c48cd737197b3289f60d666
4672x.com,AVAILABILITY,origin.list,origin.list,2023-11-20 05:18:01.419029,4c48cd737197b3289f60d666
4673x.com,AVAILABILITY,origin.list,origin.list,2023-11-20 05:18:01.669490,4c48cd737197b3289f60d666
4673t.com,AVAILABILITY,origin.list,origin.list,2023-11-20 05:18:01.783242,4c48cd737197b3289f60d666
4672t.com,AVAILABILITY,origin.list,origin.list,2023-11-20 05:18:01.944870,4c48cd737197b3289f60d666
46757.win,AVAILABILITY,origin.list,origin.list,2023-11-20 05:18:02.921342,4c48cd737197b3289f60d666
4674t.com,AVAILABILITY,origin.list,origin.list,2023-11-20 05:18:03.787137,4c48cd737197b3289f60d666
4675x.com,AVAILABILITY,origin.list,origin.list,2023-11-20 05:18:03.847569,4c48cd737197b3289f60d666
46767.org,AVAILABILITY,origin.list,origin.list,2023-11-20 05:18:04.869836,4c48cd737197b3289f60d666
4675t.com,AVAILABILITY,origin.list,origin.list,2023-11-20 05:18:04.993147,4c48cd737197b3289f60d666
46772.com,AVAILABILITY,origin.list,origin.list,2023-11-20 05:18:05.258762,4c48cd737197b3289f60d666
46772a.com,AVAILABILITY,origin.list,origin.list,2023-11-20 05:18:05.270674,4c48cd737197b3289f60d666
46772b.com,AVAILABILITY,origin.list,origin.list,2023-11-20 05:18:05.437431,4c48cd737197b3289f60d666
46772d.com,AVAILABILITY,origin.list,origin.list,2023-11-20 05:18:05.701246,4c48cd737197b3289f60d666
46772c.com,AVAILABILITY,origin.list,origin.list,2023-11-20 05:18:05.724669,4c48cd737197b3289f60d666
46772e.com,AVAILABILITY,origin.list,origin.list,2023-11-20 05:18:05.848416,4c48cd737197b3289f60d666
46772g.com,AVAILABILITY,origin.list,origin.list,2023-11-20 05:18:06.135077,4c48cd737197b3289f60d666
46772f.com,AVAILABILITY,origin.list,origin.list,2023-11-20 05:18:06.156889,4c48cd737197b3289f60d666
46772j.com,AVAILABILITY,origin.list,origin.list,2023-11-20 05:18:06.303349,4c48cd737197b3289f60d666
