# Generated by PyFunceble (v4.2.1.dev) / https://pyfunceble.github.io
# Date of generation: 2023-08-10T14:48:29.809756

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
GoDaddy.com, LLC               67%          54110       
Name.com, Inc.                 7%           5502        
NameSilo, LLC                  5%           3790        
Dynadot Inc                    4%           3218        
Gname.com Pte. Ltd.            3%           2696        
Dynadot LLC                    1%           1182        
NameCheap, Inc.                1%           1008        
Realtime Register B.V.         1%           948         
Go Daddy, LLC                  1%           940         
Dynadot, LLC                   1%           774         
eName Technology Co., Ltd.     1%           592         
Web Commerce Communications Limited dba WebNic.cc 1%           450         
OwnRegistrar, Inc.             0%           390         
West263 International Limited  0%           390         
Namecheap                      0%           320         
GoDaddy.com, LLC               67%          54110       
Name.com, Inc.                 7%           5502        
NameSilo, LLC                  5%           3790        
Dynadot Inc                    4%           3218        
Gname.com Pte. Ltd.            3%           2696        
Dynadot LLC                    1%           1182        
NameCheap, Inc.                1%           1008        
Realtime Register B.V.         1%           948         
Go Daddy, LLC                  1%           940         
Dynadot, LLC                   1%           774         
eName Technology Co., Ltd.     1%           592         
Web Commerce Communications Limited dba WebNic.cc 1%           450         
OwnRegistrar, Inc.             0%           390         
West263 International Limited  0%           390         
Namecheap                      0%           320         
